Player,GP,G,A,PTS,PIM,S,TOI,BLK,HIT,FOW,FOL
Jakob Silfverberg,79,23,26,49,20,227,1460,46,47,1,6
Kevin Hayes,76,17,32,49,18,143,1258,30,40,442,526
John Klingberg,80,13,36,49,34,124,1868,117,42,1,0
Roman Josi,72,12,37,49,18,217,1805,119,54,0,0
Justin Williams,80,24,24,48,50,167,1238,41,28,64,53
Alex Pietrangelo,80,14,34,48,24,181,2023,158,38,0,1
Matthew Tkachuk,76,13,35,48,105,142,1114,22,65,8,15
Gustav Nyquist,76,12,36,48,18,165,1325,20,54,4,1
Jason Zucker,79,22,25,47,30,172,1208,42,73,1,4
Bryan Little,59,21,26,47,18,119,1036,23,35,610,487
Sam Reinhart,79,17,30,47,8,178,1360,40,21,86,124
Jason Pominville,78,13,34,47,4,176,1110,39,44,39,39
Zach Werenski,78,11,36,47,14,188,1631,90,41,0,0
Patrick Marleau,82,27,19,46,28,190,1407,32,82,115,99
Tomas Tatar,82,25,21,46,26,166,1417,24,92,8,5
David Perron,82,18,28,46,54,151,1418,28,87,32,34
Jaromir Jagr,82,16,30,46,56,181,1394,4,21,1,1
Nick Leddy,81,11,35,46,12,137,1840,109,77,0,0
Marian Hossa,73,26,19,45,8,167,1231,36,32,5,9
Artem Anisimov,64,22,23,45,30,105,1142,27,18,416,506
Brock Nelson,81,20,25,45,36,173,1268,48,50,346,445
Tyler Johnson,66,19,26,45,28,130,1242,30,46,583,539
Kyle Okposo,65,19,26,45,24,156,1233,25,53,54,45
Victor Rask,82,16,29,45,16,186,1418,33,43,457,461
Jordan Staal,75,16,29,45,38,164,1400,29,139,688,477
Travis Zajac,80,14,31,45,33,126,1578,26,81,880,733
Mathieu Perreault,65,13,32,45,30,134,1059,26,97,97,92
Elias Lindholm,72,11,34,45,16,151,1309,43,99,353,282
Rasmus Ristolainen,79,6,39,45,58,186,2091,161,195,0,0
Tanner Pearson,80,24,20,44,13,187,1306,31,124,10,14
Richard Panik,82,22,22,44,58,155,1208,45,147,2,5
Patric Hornqvist,70,21,23,44,28,223,1117,62,227,3,8
Michael Frolik,82,17,27,44,58,202,1401,48,60,13,16
Alex Galchenyuk,61,17,27,44,24,104,972,32,36,274,368
Daniel Sedin,82,15,29,44,32,216,1508,18,20,3,3
Drew Doughty,82,12,32,44,46,181,2226,109,129,1,0
Evander Kane,70,28,15,43,113,260,1344,29,109,55,67
Paul Byron,81,22,21,43,29,96,1220,34,119,10,5
Ryan Nugent-Hopkins,82,18,25,43,29,200,1451,35,47,556,712
Jake Gardiner,82,9,34,43,34,127,1766,83,69,0,0
Patrick Maroon,81,27,15,42,95,178,1356,23,189,6,9
Zach Parise,69,19,23,42,30,194,1203,69,46,8,5
Mike Fisher,72,18,24,42,55,120,1196,64,160,703,577
Shea Weber,78,17,25,42,38,183,1955,157,140,0,0
Teuvo Teravainen,81,15,27,42,16,169,1315,33,27,193,220
Seth Jones,75,12,30,42,24,152,1755,118,61,0,0
