Player,GP,G,A,PTS,PIM,S,TOI,BLK,HIT,FOW,FOL
Braydon Coburn,80,5,7,12,50,102,1339,76,109,0,0
Lawson Crouse,72,5,7,12,48,84,856,29,160,1,1
Chris Kelly,82,5,7,12,23,85,979,48,71,223,278
Danny DeKeyser,82,4,8,12,33,85,1800,170,100,0,0
Devin Setoguchi,45,4,8,12,14,60,560,10,53,2,2
Patrick Wiercioch,57,4,8,12,23,63,950,57,52,1,0
Cody Eakin,60,3,9,12,49,82,1009,39,65,524,477
Brandon Manning,65,3,9,12,83,84,1174,79,121,0,1
Xavier Ouellet,66,3,9,12,51,89,1186,87,73,0,2
Ben Chiarot,59,2,10,12,33,49,904,94,78,0,0
Micheal Haley,58,2,10,12,128,37,532,23,129,66,83
Marc Methot,68,0,12,12,24,69,1348,77,164,0,0
Michael Raffl,52,8,3,11,20,63,690,22,91,3,7
Darnell Nurse,44,5,6,11,33,85,749,53,107,0,0
Roman Polak,75,4,7,11,65,64,1344,133,232,0,1
Zach Bogosian,56,2,9,11,46,73,1125,97,59,0,1
Ryan Murray,60,2,9,11,24,52,1100,96,23,0,0
Dmitrij Jaskin,51,1,10,11,18,55,589,19,98,5,5
Colton Sissons,58,8,2,10,12,42,645,24,104,192,192
Brian Flynn,51,6,4,10,4,47,615,29,20,69,80
Denis Malgin,47,6,4,10,8,67,528,15,34,67,117
Stephen Johns,61,4,6,10,36,91,1114,130,159,0,0
Cedric Paquette,58,4,6,10,80,68,668,46,144,200,234
Anton Slepyshev,41,4,6,10,4,55,456,15,64,2,3
Adam Pelech,44,3,7,10,6,40,741,68,73,0,0
Logan Shaw,55,3,7,10,10,59,534,18,62,55,90
Marc Staal,72,3,7,10,34,70,1381,97,89,0,1
Brenden Dillon,81,2,8,10,60,86,1334,81,173,0,0
Alexei Emelin,76,2,8,10,71,82,1620,127,241,0,0
Adam McQuaid,77,2,8,10,71,64,1405,144,157,0,0
Chris Tanev,53,2,8,10,14,39,1078,91,19,0,0
Nikita Zadorov,56,0,10,10,73,61,1066,69,153,0,0
Tyler Graovac,52,7,2,9,10,48,512,15,52,163,180
Matt Martin,82,5,4,9,123,66,730,26,300,0,11
Jack Skille,55,5,4,9,12,73,484,24,74,2,0
Nikita Soshnikov,56,5,4,9,16,70,608,28,101,2,15
Michael Chaput,68,4,5,9,29,64,750,29,68,203,182
Devante Smith-Pelly,53,4,5,9,12,76,716,32,94,29,42
Nikita Tryamkin,66,2,7,9,64,65,1105,87,145,0,0
Jonathan Ericsson,51,1,8,9,63,43,980,36,86,0,0
Jason Garrison,70,1,8,9,14,96,1300,91,93,0,0
William Carrier,41,5,3,8,21,50,369,10,112,1,1
Jay McClement,65,5,3,8,18,37,740,40,49,253,272
Pierre-Edouard Bellemare,82,4,4,8,20,90,1064,70,73,400,429
Joe Colborne,62,4,4,8,34,48,663,14,86,45,72
Jayson Megna,58,4,4,8,6,72,721,23,87,2,14
Jordan Nolan,46,4,4,8,44,39,499,7,62,2,4
Dennis Rasmussen,68,4,4,8,12,77,804,49,61,165,205
Matt Beleskey,49,3,5,8,47,79,650,18,98,29,41
Connor Carrick,67,2,6,8,51,89,1095,79,66,0,0
Christian Folin,51,2,6,8,26,39,762,59,69,0,0
Michal Kempny,50,2,6,8,22,67,748,59,76,0,0
Luke Schenn,78,1,7,8,85,94,1408,134,286,0,0
Yannick Weber,73,1,7,8,25,72,870,53,72,0,0
Justin Falk,52,0,8,8,29,33,712,40,101,1,0
Chris Wagner,43,6,1,7,6,40,402,24,112,62,86
Drew Miller,55,5,2,7,18,43,565,52,71,2,1
Jamie Oleksiak,41,5,2,7,37,33,665,53,51,0,0
Matt Hendricks,42,4,3,7,29,42,451,39,79,132,100
Nick Lappin,43,4,3,7,17,57,504,10,35,2,5
Lance Bouma,61,3,4,7,35,53,692,44,127,4,8
John Mitchell,65,3,4,7,45,57,816,45,88,298,240
Markus Nutivaara,66,2,5,7,6,66,872,38,36,0,0
Kevin Gravel,49,1,6,7,6,52,693,65,73,0,0
Ben Lovejoy,82,1,6,7,39,84,1703,149,82,0,0
Olli Maatta,55,1,6,7,12,66,994,102,72,0,0
Roman Lyubimov,47,4,2,6,8,41,450,16,28,1,6
J.T. Brown,64,3,3,6,73,67,664,25,103,12,26
Klas Dahlbeck,43,2,4,6,30,37,597,38,77,0,0
Josh Gorges,66,1,5,6,50,40,1218,108,143,0,1
Jonathon Merrill,51,1,5,6,24,48,947,67,39,0,0
Carl Gunnarsson,56,0,6,6,4,32,761,68,42,0,0
Matt Tennyson,45,0,6,6,6,36,598,48,65,0,0
Jimmy Hayes,58,2,3,5,29,74,535,10,74,14,41
Dmitry Kulikov,47,2,3,5,26,42,1029,72,60,0,0
Brendan Gaunce,57,0,5,5,33,51,541,12,94,84,80
Chris Thorburn,64,3,1,4,95,36,446,25,90,13,13
Sergey Kalinin,43,2,2,4,15,38,550,20,53,72,102
Brayden McNabb,49,2,2,4,54,47,738,54,110,0,0
Mark Stuart,42,2,2,4,27,24,523,79,68,0,0
Brandon Tanev,51,2,2,4,26,54,545,31,128,1,0
Shawn Thornton,50,2,2,4,67,42,384,8,52,5,10
Chris Neil,53,1,3,4,63,42,401,20,108,0,0
Jordin Tootoo,50,2,1,3,28,43,337,8,52,1,0
Mark Borowiecki,70,1,2,3,154,50,981,90,364,1,0
Jared Boll,51,0,3,3,87,13,297,14,68,0,1
Nicolas Deslauriers,42,0,2,2,38,26,311,5,109,0,3
Andrew Desjardins,46,0,1,1,22,46,432,17,73,39,30
